name,description,address,city,state,zip,tcn
STRVAMAG,Magellan Terminals Holdings LP,5287 Terminal Road,Roanoke,VA,24001,T-54-VA-1689
STVOHMPX,MPLX Steubenville,28371 Kingsdale Road,Steubenville,OH,43952,T-34-OH-3154
SWESCBUC,"Buckeye Terminals, LLC - North Augusta",221 Sweetwater Rd.,Sweetwater,SC,29841,T-57-SC-2061
SWESCKMP,Kinder Morgan Southeast Terminals LLC,205 Sweetwater Rd.,Sweetwater,SC,29841,T-57-SC-2062
SYDNBIOL,IMPERIAL OIL SYDNEY,1 George Street,SYDNEY,NB,NULL,NULL
THRNCKIN,Kinder Morgan Southeast Terminals LLC,502 Tom Sadler Rd.,THRIFT,NC,28214,T-56-NC-2004
THRNCMA1,Magellan Terminals Holdings LP,7145 Mount Holly Rd.,THRIFT,NC,28214,T-56-NC-2006
THRNCMG2,Magellan Terminals Holdings LP,7924 Mt. Holly Rd.,THRIFT,NC,28214,T-56-NC-2024
THRTXDIA,Diamond Shamrock - Three Rivers,301 Leroy Street,Three Rivers,TX,78071,T-74-TX-2747
TLSOKSN,Holly Energy Partners - Operating LP,1307 W 35th St,Tulsa,OK,74101,T-73-OK-2620
TMPFLBCK,"Buckeye Terminals, LLC - Tampa",504 N 19th Street,Tampa,FL,33601,T-59-FL-2107
TMPFLCIT,CITGO - Tampa,801 McCloskey Blvd,Tampa,FL,33601,T-59-FL-2133
TMPFLKM,Kinder Morgan Liquids Terminals LLC,2101 GATX Drive,Tampa,FL,33601,T-59-FL-2123
TMPFLMAR,MPLX Tampa,425 South 20th Street,Tampa,FL,33601,T-59-FL-2136
TMPFLMUR,"Murphy Oil USA, Inc. - Tampa",1306 Ingram Ave,Tampa,FL,33601,T-59-FL-2100
TMPMOTIV,Motiva Enterprises LLC,6500 W. Commerce St,Port Tampa City,FL,33616,T-59-FL-2124
TOLOHBUC,"Buckeye Terminals, LLC - Toledo",2450 Hill Avenue,Toledo,OH,43601,T-34-OH-3148
TORONIOL,IOL FINCH-DOWNSVIEW,1150 FINCH AVE ,Toronto,ON,NULL,NULL
TORONSHL,SHELL KEEL,3975 Keele Street,Toronto,ON,NULL,NULL
TUCAZKM,"SFPP, LP",3841 East Refinery Way,Tucson,AZ,85701,T-86-AZ-4310
TULOKSIN,Holly Energy Partners - Operating LP,1307 W 35th St,Tulsa,OK,74101,T-73-OK-2620
VICMSCIT,CITGO - Vicksburg,1585 Haining Rd,Vicksburg,MS,39180,T-64-MS-2419
VICTXCIT,CITGO - Victoria,1708 North Ben Jordan Blvd,Victoria,TX,76664,T-74-TX-2703
VRNCAEXX,Torrance Logistics Company,2709 East 37th Street,Vernon,CA,90058,T-95-CA-4805
WACOTXFH,"Flint Hills Resources, LP-Waco",2017 Kendall Lane,Waco,TX,76701,T-74-TX-2707
WASOKSUN,Sunoco Partners Marketing & Terminals LP,9 South,Waskom,TX,75692,T-75-TX-2688
WILNCAPX,Apex Oil Company,3314 River Road,Wilmington,NC,28401,T-56-NC-2043
WILNCBUC,"Buckeye Terminals, LLC - Wilmington",1312 S Front St.,Wilmington,NC,28401,T-56-NC-2037
WRILKIN,Kinder Morgan Liquids Terminals LLC,1000 BP Lane,Wood River,IL,62095,T-37-IL-3351
YOUOHMPL,MPLX Youngstown,1140 Bears Den Road,Youngstown,OH,44501,T-34-OH-3155
TEMP,NULL,NULL,NULL,NULL,NULL,NULL
BELONIOL,IOL BELLEVILLE TERMINAL,121 TANK FARM RD,BELLEVILLE,ON,K8N 4Z6,NULL
NANONIOL,IOL NANTICOKE,Concession 3 Road,Nanticoke,ON,N0A 1L0,NULL
NEPONIOL,IOL NEPEAN/OTTAWA,1961 MERIVALE ROAD,NEPEAN,ON,K2G 1G1,NULL
SARONIOL,IOL SARNIA TERMINAL,675 VIDAL STREET SOUTH,SARNIA,ON,N7T2A4,NULL
SSMONIOL,IOL SAULT STE MARIE TERMINAL,52 BLACK RD,SAULT STE MARIE,ON,P6B 0A4,NULL
IRVOIL,IRVING OIL,NULL,SAINT JOHN,ME,4743,NULL
SARONSHL,SHELL SARNIA (CORUNNA),675 VIDAL STREET SOUTH,SARNIA,ON,N7T2A4,NULL
OAKONSUN,SUNCOR BRONTE/OAKVILLE,715 MCPHERSON ROAD,OAKVILLE,ON,L6L 6S9,NULL
THBONSUN,SUNCOR THUNDER BAY TERMINAL,300 106TH ST MISSION ISLAND,THUNDER BAY,ON,P7E 0A4,NULL
MTLONVAL,VALERO MAITLAND,PO Box 196,MAITLAND,ON,K0E 1P0,NULL
HMMDINMO,ExxonMobil OIl Corp.,1527 141st St,Hammond,IN,46327,T-35-IN-3224
DETMIBUC,"Buckeye Terminals, LLC - Detroit ",700 S Deacon St,Detroit,MI,48217,T-38-MI-3025
FERMIBUC,"Buckeye Terminals, LLC - Ferrysburg",17806 North Shore Dr. ,Ferrysburg,MI,49409,T-38-MI-3013
BHMALCIR,CIRCLE K TERMINAL BIRMINHAM,2529 28th Street SW,BIRMINGHAM,AL,35201,T-63-AL-2340
